lambda_delay,lambda_migration,lambda_resource,lambda_balance,migrate_threshold,cooldown_steps,max_candidates,d_max,queue_penalty_coeff,sensitivity_coeff,migration_state_coeff,migration_hops_coeff,migration_norm_factor,resource_tension_max,allocation_failure_penalty,mean_cost_margin_vs_nearest,mean_failed_gap_vs_nearest,mean_delay_gap_vs_nearest
0.27450980392156865,0.21568627450980393,0.3529411764705882,0.1568627450980392,0.03,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.496143245239153,-0.11250000000000004,0.012186937807214804
0.2545454545454546,0.23636363636363636,0.3272727272727272,0.18181818181818182,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.493483281485197,-0.11250000000000004,0.04142783511603554
0.26666666666666666,0.19999999999999998,0.35555555555555557,0.17777777777777778,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.492755154011633,-0.11250000000000004,0.028964979703751226
0.2553191489361702,0.19148936170212766,0.34042553191489366,0.21276595744680854,0.06,3,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.490267100507111,-0.11250000000000027,0.04147023820826945
0.27450980392156865,0.21568627450980393,0.3137254901960784,0.19607843137254902,0.03,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.48082211405952,-0.11250000000000004,0.012186937807214804
0.26666666666666666,0.2,0.4,0.13333333333333333,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.477899756214242,-0.11250000000000004,0.03847503610684555
0.26666666666666666,0.19999999999999998,0.3111111111111111,0.22222222222222224,0.09,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.476131421202638,-0.11250000000000004,0.028964979703751226
0.27906976744186046,0.20930232558139533,0.32558139534883723,0.18604651162790697,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.466077671075823,-0.11250000000000004,0.012186937807214804
0.26666666666666666,0.24444444444444444,0.35555555555555557,0.13333333333333333,0.03,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.457610252361945,-0.11250000000000004,0.038239857319666726
0.27450980392156865,0.21568627450980393,0.3529411764705882,0.1568627450980392,0.06,2,4,32.0,24.0,0.25,0.15,8.0,20.0,4.0,120.0,-12.454711219240949,-0.11250000000000004,0.028964979703751226
